
                                      ARENA Simulation Results
                                               tt_sina

                                  Summary for Replication 1 of 10

Project: Unnamed Project                                             Run execution date : 7/10/2021
Analyst: tt_sina                                                     Model revision date: 7/10/2021

Replication ended at time      : 8761.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
RQW22.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW22.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW21.VATime                                .00000     .00000     .00000     .00000        365    
RQW21.NVATime                               .00000     .00000     .00000     .00000        365    
RQW21.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW21.TranTime                              .00000     .00000     .00000     .00000        365    
RQW21.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW21.TotalTime                             .00000     .00000     .00000     .00000        365    
CHIQ2.VATime                                .00000     .00000     .00000     .00000        365    
CHIQ2.NVATime                               .00000     .00000     .00000     .00000        365    
CHIQ2.WaitTime                              .00000     .00000     .00000     .00000        365    
CHIQ2.TranTime                              .00000     .00000     .00000     .00000        365    
CHIQ2.OtherTime                             .00000     .00000     .00000     .00000        365    
CHIQ2.TotalTime                             .00000     .00000     .00000     .00000        365    
CHIQ3.VATime                                .00000     .00000     .00000     .00000        365    
CHIQ3.NVATime                               .00000     .00000     .00000     .00000        365    
CHIQ3.WaitTime                              .00000     .00000     .00000     .00000        365    
CHIQ3.TranTime                              .00000     .00000     .00000     .00000        365    
CHIQ3.OtherTime                             .00000     .00000     .00000     .00000        365    
CHIQ3.TotalTime                             .00000     .00000     .00000     .00000        365    
CHIQ1.VATime                                .00000     .00000     .00000     .00000        365    
CHIQ1.NVATime                               .00000     .00000     .00000     .00000        365    
CHIQ1.WaitTime                              .00000     .00000     .00000     .00000        365    
CHIQ1.TranTime                              .00000     .00000     .00000     .00000        365    
CHIQ1.OtherTime                             .00000     .00000     .00000     .00000        365    
CHIQ1.TotalTime                             .00000     .00000     .00000     .00000        365    
CHIQ4.VATime                                .00000     .00000     .00000     .00000        365    
CHIQ4.NVATime                               .00000     .00000     .00000     .00000        365    
CHIQ4.WaitTime                              .00000     .00000     .00000     .00000        365    
CHIQ4.TranTime                              .00000     .00000     .00000     .00000        365    
CHIQ4.OtherTime                             .00000     .00000     .00000     .00000        365    
CHIQ4.TotalTime                             .00000     .00000     .00000     .00000        365    
SS Week DC4.VATime                          .00000     (Insuf)    .00000     .00000         52    
SS Week DC4.NVATime                         .00000     (Insuf)    .00000     .00000         52    
SS Week DC4.WaitTime                        .00000     (Insuf)    .00000     .00000         52    
SS Week DC4.TranTime                        .00000     (Insuf)    .00000     .00000         52    
SS Week DC4.OtherTime                       .00000     (Insuf)    .00000     .00000         52    
SS Week DC4.TotalTime                       .00000     (Insuf)    .00000     .00000         52    
SS Week DC1.VATime                          .00000     (Insuf)    .00000     .00000         52    
SS Week DC1.NVATime                         .00000     (Insuf)    .00000     .00000         52    
SS Week DC1.WaitTime                        .00000     (Insuf)    .00000     .00000         52    
SS Week DC1.TranTime                        .00000     (Insuf)    .00000     .00000         52    
SS Week DC1.OtherTime                       .00000     (Insuf)    .00000     .00000         52    
SS Week DC1.TotalTime                       .00000     (Insuf)    .00000     .00000         52    
SS Week DC2.VATime                          .00000     (Insuf)    .00000     .00000         52    
SS Week DC2.NVATime                         .00000     (Insuf)    .00000     .00000         52    
SS Week DC2.WaitTime                        .00000     (Insuf)    .00000     .00000         52    
SS Week DC2.TranTime                        .00000     (Insuf)    .00000     .00000         52    
SS Week DC2.OtherTime                       .00000     (Insuf)    .00000     .00000         52    
SS Week DC2.TotalTime                       .00000     (Insuf)    .00000     .00000         52    
SS Week DC3.VATime                          .00000     (Insuf)    .00000     .00000         52    
SS Week DC3.NVATime                         .00000     (Insuf)    .00000     .00000         52    
SS Week DC3.WaitTime                        .00000     (Insuf)    .00000     .00000         52    
SS Week DC3.TranTime                        .00000     (Insuf)    .00000     .00000         52    
SS Week DC3.OtherTime                       .00000     (Insuf)    .00000     .00000         52    
SS Week DC3.TotalTime                       .00000     (Insuf)    .00000     .00000         52    
CHIQ_PDC_ND.VATime                          5.4678     (Insuf)    .00000     38.033         52    
CHIQ_PDC_ND.NVATime                         .00000     (Insuf)    .00000     .00000         52    
CHIQ_PDC_ND.WaitTime                        .00000     (Insuf)    .00000     .00000         52    
CHIQ_PDC_ND.TranTime                        .00000     (Insuf)    .00000     .00000         52    
CHIQ_PDC_ND.OtherTime                       .00000     (Insuf)    .00000     .00000         52    
CHIQ_PDC_ND.TotalTime                       5.4678     (Insuf)    .00000     38.033         52    
CHIQ_PDC_ED.VATime                          .00000     .00000     .00000     .00000        365    
CHIQ_PDC_ED.NVATime                         .93271     (Corr)     .00000     10.466        365    
CHIQ_PDC_ED.WaitTime                        .00000     .00000     .00000     .00000        365    
CHIQ_PDC_ED.TranTime                        .00000     .00000     .00000     .00000        365    
CHIQ_PDC_ED.OtherTime                       .00000     .00000     .00000     .00000        365    
CHIQ_PDC_ED.TotalTime                       .93271     (Corr)     .00000     10.466        365    
RQP.VATime                                  .00000     .00000     .00000     .00000     116515E+01
RQP.NVATime                                 .00000     .00000     .00000     .00000     116515E+01
RQP.WaitTime                                12.003     .03385     .00000     24.000     116515E+01
RQP.TranTime                                .00000     .00000     .00000     .00000     116515E+01
RQP.OtherTime                               .00000     .00000     .00000     .00000     116515E+01
RQP.TotalTime                               12.003     .03385     .00000     24.000     116515E+01
RQW18.VATime                                .00000     .00000     .00000     .00000        365    
RQW18.NVATime                               .00000     .00000     .00000     .00000        365    
RQW18.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW18.TranTime                              .00000     .00000     .00000     .00000        365    
RQW18.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW18.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW19.VATime                                .00000     .00000     .00000     .00000        365    
RQW19.NVATime                               .00000     .00000     .00000     .00000        365    
RQW19.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW19.TranTime                              .00000     .00000     .00000     .00000        365    
RQW19.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW19.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW12.VATime                                .00000     .00000     .00000     .00000        365    
RQW12.NVATime                               .00000     .00000     .00000     .00000        365    
RQW12.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW12.TranTime                              .00000     .00000     .00000     .00000        365    
RQW12.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW12.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW13.VATime                                .00000     .00000     .00000     .00000        365    
RQW13.NVATime                               .00000     .00000     .00000     .00000        365    
RQW13.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW13.TranTime                              .00000     .00000     .00000     .00000        365    
RQW13.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW13.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW11.VATime                                .00000     .00000     .00000     .00000        365    
RQW11.NVATime                               .00000     .00000     .00000     .00000        365    
RQW11.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW11.TranTime                              .00000     .00000     .00000     .00000        365    
RQW11.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW11.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW16.VATime                                .00000     .00000     .00000     .00000        365    
RQW16.NVATime                               .00000     .00000     .00000     .00000        365    
RQW16.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW16.TranTime                              .00000     .00000     .00000     .00000        365    
RQW16.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW16.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW17.VATime                                .00000     .00000     .00000     .00000        365    
RQW17.NVATime                               .00000     .00000     .00000     .00000        365    
RQW17.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW17.TranTime                              .00000     .00000     .00000     .00000        365    
RQW17.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW17.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW14.VATime                                .00000     .00000     .00000     .00000        365    
RQW14.NVATime                               .00000     .00000     .00000     .00000        365    
RQW14.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW14.TranTime                              .00000     .00000     .00000     .00000        365    
RQW14.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW14.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW15.VATime                                .00000     .00000     .00000     .00000        365    
RQW15.NVATime                               .00000     .00000     .00000     .00000        365    
RQW15.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW15.TranTime                              .00000     .00000     .00000     .00000        365    
RQW15.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW15.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW34.VATime                                .00000     .00000     .00000     .00000        365    
RQW34.NVATime                               .00000     .00000     .00000     .00000        365    
RQW34.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW34.TranTime                              .00000     .00000     .00000     .00000        365    
RQW34.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW34.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW35.VATime                                .00000     .00000     .00000     .00000        365    
RQW35.NVATime                               .00000     .00000     .00000     .00000        365    
RQW35.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW35.TranTime                              .00000     .00000     .00000     .00000        365    
RQW35.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW35.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW36.VATime                                .00000     .00000     .00000     .00000        365    
RQW36.NVATime                               .00000     .00000     .00000     .00000        365    
RQW36.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW36.TranTime                              .00000     .00000     .00000     .00000        365    
RQW36.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW36.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW31.VATime                                .00000     .00000     .00000     .00000        365    
RQW31.NVATime                               .00000     .00000     .00000     .00000        365    
RQW31.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW31.TranTime                              .00000     .00000     .00000     .00000        365    
RQW31.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW31.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW32.VATime                                .00000     .00000     .00000     .00000        365    
RQW32.NVATime                               .00000     .00000     .00000     .00000        365    
RQW32.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW32.TranTime                              .00000     .00000     .00000     .00000        365    
RQW32.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW32.TotalTime                             .00000     .00000     .00000     .00000        365    
RQW33.VATime                                .00000     .00000     .00000     .00000        365    
RQW33.NVATime                               .00000     .00000     .00000     .00000        365    
RQW33.WaitTime                              .00000     .00000     .00000     .00000        365    
RQW33.TranTime                              .00000     .00000     .00000     .00000        365    
RQW33.OtherTime                             .00000     .00000     .00000     .00000        365    
RQW33.TotalTime                             .00000     .00000     .00000     .00000        365    
Hold 36.Queue.WaitingTime                   12.286     .96626     .00000     24.000       2244    
Hold 26.Queue.WaitingTime                   12.231     .89987     .11485     24.000       5174    
Hold 16.Queue.WaitingTime                   11.609     .96133     .06681     24.000       4095    
Hold 28.Queue.WaitingTime                   11.888     (Corr)     .11348     24.000       1040    
Hold 38.Queue.WaitingTime                   12.035     1.2176     .07589     24.000       1755    
Hold 18.Queue.WaitingTime                   11.991     .03448     .00358     24.000     135187    
Hold 44.Queue.WaitingTime                   12.254     .68237     .01054     24.000       4998    
Hold 34.Queue.WaitingTime                   11.875     1.0252     .00000     24.000       4224    
Hold 24.Queue.WaitingTime                   12.101     .67607     .00000     24.000       5324    
Hold 14.Queue.WaitingTime                   11.983     .05128     .00494     24.000     234209    
Hold 45.Queue.WaitingTime                   12.006     (Corr)     7.9473E-04 24.000     129684    
Hold 35.Queue.WaitingTime                   12.030     .03943     5.1889E-04 24.000     174369    
Hold 25.Queue.WaitingTime                   11.847     .91758     .05781     24.000       5750    
Hold 15.Queue.WaitingTime                   11.572     .93113     .02828     24.000      11046    
Hold 39.Queue.WaitingTime                   11.478     (Corr)     .01730     24.000       4095    
Hold 29.Queue.WaitingTime                   11.821     (Corr)     .00000     24.000       1665    
Hold 19.Queue.WaitingTime                   11.735     .87533     .00161     24.000        884    
Hold 32.Queue.WaitingTime                   12.364     .53470     .00000     24.000       6344    
Hold 42.Queue.WaitingTime                   11.999     1.1114     .12405     24.000       1494    
Hold 22.Queue.WaitingTime                   11.991     (Corr)     4.1045E-04 24.000      77371    
Hold 12.Queue.WaitingTime                   12.233     .65623     .09996     24.000       1728    
Hold 9.Queue.WaitingTime                    11.756     1.1098     .00949     24.000       1704    
Hold 8.Queue.WaitingTime                    11.987     .02834     5.1588E-05 24.000     187816    
Hold 7.Queue.WaitingTime                    12.048     .49951     .00000     24.000       5401    
Hold 6.Queue.WaitingTime                    12.041     .82509     .15912     24.000       6480    
Hold 5.Queue.WaitingTime                    10.970     1.5858     .22501     24.000       1232    
Hold 4.Queue.WaitingTime                    12.822     (Corr)     .42071     24.000        880    
Hold 3.Queue.WaitingTime                    12.254     .46577     .00413     24.000      22533    
Hold 2.Queue.WaitingTime                    12.597     1.3693     .00000     24.000        783    
Hold 1.Queue.WaitingTime                    11.920     .73473     .00000     24.000       3528    
Hold 43.Queue.WaitingTime                   12.427     1.0195     .00467     24.000       1888    
Hold 33.Queue.WaitingTime                   12.591     .80727     .00000     24.000       2358    
Hold 23.Queue.WaitingTime                   12.187     .41785     .00000     24.000       5390    
Hold 13.Queue.WaitingTime                   12.274     .89156     .00000     24.000       2457    
Hold 27.Queue.WaitingTime                   11.071     1.4667     .06241     24.000       6216    
Hold 37.Queue.WaitingTime                   12.024     (Corr)     2.2302E-04 24.000      55320    
Hold 17.Queue.WaitingTime                   12.500     .88469     .00000     24.000       4650    
Hold 31.Queue.WaitingTime                   11.882     .62228     .13797     24.000      14300    
Hold 41.Queue.WaitingTime                   12.182     .69511     .08317     24.000       2485    
Hold 21.Queue.WaitingTime                   11.158     1.0850     .00000     24.000       1560    
Hold 11.Queue.WaitingTime                   12.819     1.8034     1.0000     24.000       1708    
Hold 40.Queue.WaitingTime                   12.056     .93070     .00000     24.000       5313    
Hold 30.Queue.WaitingTime                   11.653     .89740     .22162     24.000       5488    
Hold 20.Queue.WaitingTime                   12.758     .80613     .04624     24.000       6837    
Hold 10.Queue.WaitingTime                   11.951     1.5116     .00967     24.000       6144    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

IQ_cost                                     19876.     (Corr)     3571.2     1.2320E+05 9077.7    
Entity 1.WIP                                .00000     (Insuf)    .00000     1.0000     .00000    
RQW41.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQTotalDailyDC1.WIP                         .00000     (Insuf)    .00000     1.0000     .00000    
RQTotalDailyDC2.WIP                         .00000     (Insuf)    .00000     1.0000     .00000    
RQTotalDailyDC3.WIP                         .00000     (Insuf)    .00000     1.0000     .00000    
RQTotalDailyDC4.WIP                         .00000     (Insuf)    .00000     1.0000     .00000    
RQW22.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW21.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ2.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ3.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ1.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ4.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
SS Week DC4.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
SS Week DC1.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
SS Week DC2.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
SS Week DC3.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ_PDC_ND.WIP                             .03245     (Insuf)    .00000     1.0000     .00000    
CHIQ_PDC_ED.WIP                             .03886     (Insuf)    .00000     1.0000     .00000    
RQP.WIP                                     1596.3     (Corr)     .00000     3634.0     116.00    
RQW18.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW19.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW12.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW13.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW11.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW16.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW17.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW14.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW15.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW34.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW35.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW36.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW31.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW32.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW33.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
Hold 36.Queue.NumberInQueue                 3.1469     .27039     .00000     12.000     .00000    
Hold 26.Queue.NumberInQueue                 7.2236     .71170     .00000     52.000     .00000    
Hold 16.Queue.NumberInQueue                 5.4266     .44543     .00000     21.000     .00000    
Hold 28.Queue.NumberInQueue                 1.4112     (Corr)     .00000     5.0000     .00000    
Hold 38.Queue.NumberInQueue                 2.4109     .24246     .00000     9.0000     .00000    
Hold 18.Queue.NumberInQueue                 185.03     (Corr)     .00000     390.00     13.000    
Hold 44.Queue.NumberInQueue                 6.9907     .40377     .00000     21.000     .00000    
Hold 34.Queue.NumberInQueue                 5.7253     .58502     .00000     22.000     .00000    
Hold 24.Queue.NumberInQueue                 7.3538     .43673     .00000     22.000     .00000    
Hold 14.Queue.NumberInQueue                 320.36     (Corr)     .00000     667.00     23.000    
Hold 45.Queue.NumberInQueue                 177.73     (Corr)     .00000     372.00     12.000    
Hold 35.Queue.NumberInQueue                 239.44     (Corr)     .00000     493.00     17.000    
Hold 25.Queue.NumberInQueue                 7.7758     .55510     .00000     23.000     .00000    
Hold 15.Queue.NumberInQueue                 14.591     1.8830     .00000     168.00     .00000    
Hold 39.Queue.NumberInQueue                 5.3654     .51825     .00000     21.000     .00000    
Hold 29.Queue.NumberInQueue                 2.2466     (Corr)     .00000     9.0000     .00000    
Hold 19.Queue.NumberInQueue                 1.1841     .18077     .00000     16.000     .00000    
Hold 32.Queue.NumberInQueue                 8.9535     .47567     .00000     26.000     .00000    
Hold 42.Queue.NumberInQueue                 2.0462     .17473     .00000     9.0000     .00000    
Hold 22.Queue.NumberInQueue                 105.89     (Corr)     .00000     224.00     7.0000    
Hold 12.Queue.NumberInQueue                 2.4128     .31215     .00000     24.000     .00000    
Hold 9.Queue.NumberInQueue                  2.2865     .40793     .00000     32.000     .00000    
Hold 8.Queue.NumberInQueue                  256.98     (Corr)     .00000     527.00     34.000    
Hold 7.Queue.NumberInQueue                  7.4279     .35497     .00000     33.000     .00000    
Hold 6.Queue.NumberInQueue                  8.9066     1.5207     .00000     96.000     .00000    
Hold 5.Queue.NumberInQueue                  1.5427     .21025     .00000     7.0000     .00000    
Hold 4.Queue.NumberInQueue                  1.2879     (Insuf)    .00000     16.000     .00000    
Hold 3.Queue.NumberInQueue                  31.518     2.8151     .00000     189.00     .00000    
Hold 2.Queue.NumberInQueue                  1.1259     (Insuf)    .00000     9.0000     .00000    
Hold 1.Queue.NumberInQueue                  4.8003     .24581     .00000     16.000     .00000    
Hold 43.Queue.NumberInQueue                 2.6781     .36372     .00000     40.000     .00000    
Hold 33.Queue.NumberInQueue                 3.3890     .19244     .00000     18.000     .00000    
Hold 23.Queue.NumberInQueue                 7.4982     .41423     .00000     33.000     .00000    
Hold 13.Queue.NumberInQueue                 3.4424     .27149     .00000     18.000     .00000    
Hold 27.Queue.NumberInQueue                 7.8556     (Corr)     .00000     37.000     .00000    
Hold 37.Queue.NumberInQueue                 75.929     (Corr)     .00000     160.00     10.000    
Hold 17.Queue.NumberInQueue                 6.6345     .53506     .00000     30.000     .00000    
Hold 31.Queue.NumberInQueue                 19.394     .94076     .00000     52.000     .00000    
Hold 41.Queue.NumberInQueue                 3.4554     .32664     .00000     35.000     .00000    
Hold 21.Queue.NumberInQueue                 1.9869     .21824     .00000     8.0000     .00000    
Hold 11.Queue.NumberInQueue                 2.4992     (Insuf)    .00000     28.000     .00000    
Hold 40.Queue.NumberInQueue                 7.3113     .52517     .00000     46.000     .00000    
Hold 30.Queue.NumberInQueue                 7.2998     .50143     .00000     28.000     .00000    
Hold 20.Queue.NumberInQueue                 9.9569     (Insuf)    .00000     43.000     .00000    
Hold 10.Queue.NumberInQueue                 8.3815     .99071     .00000     32.000     .00000    

                                             COUNTERS

Identifier                                    Count   Limit
_____________________________________________________________

Counter 3                                       328  Infinite
Counter 2                                       264  Infinite
Counter 1                                       316  Infinite
Counter 7                                        44  Infinite
Counter 6                                        34  Infinite
Counter 5                                       331  Infinite
Counter 4                                       328  Infinite
Counter 8                                         8  Infinite

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Entity 1.NumberIn                           1.0000    
Entity 1.NumberOut                          1.0000    
RQW41.NumberIn                              365.00    
RQW41.NumberOut                             365.00    
RQTotalDailyDC1.NumberIn                    365.00    
RQTotalDailyDC1.NumberOut                   365.00    
RQTotalDailyDC2.NumberIn                    365.00    
RQTotalDailyDC2.NumberOut                   365.00    
RQTotalDailyDC3.NumberIn                    365.00    
RQTotalDailyDC3.NumberOut                   365.00    
RQTotalDailyDC4.NumberIn                    365.00    
RQTotalDailyDC4.NumberOut                   365.00    
RQW22.NumberIn                              365.00    
RQW22.NumberOut                             365.00    
RQW21.NumberIn                              365.00    
RQW21.NumberOut                             365.00    
CHIQ2.NumberIn                              365.00    
CHIQ2.NumberOut                             365.00    
CHIQ3.NumberIn                              365.00    
CHIQ3.NumberOut                             365.00    
CHIQ1.NumberIn                              365.00    
CHIQ1.NumberOut                             365.00    
CHIQ4.NumberIn                              365.00    
CHIQ4.NumberOut                             365.00    
SS Week DC4.NumberIn                        52.000    
SS Week DC4.NumberOut                       52.000    
SS Week DC1.NumberIn                        52.000    
SS Week DC1.NumberOut                       52.000    
SS Week DC2.NumberIn                        52.000    
SS Week DC2.NumberOut                       52.000    
SS Week DC3.NumberIn                        52.000    
SS Week DC3.NumberOut                       52.000    
CHIQ_PDC_ND.NumberIn                        52.000    
CHIQ_PDC_ND.NumberOut                       52.000    
CHIQ_PDC_ED.NumberIn                        365.00    
CHIQ_PDC_ED.NumberOut                       365.00    
RQP.NumberIn                                1.1653E+06
RQP.NumberOut                               1.1652E+06
RQW18.NumberIn                              365.00    
RQW18.NumberOut                             365.00    
RQW19.NumberIn                              365.00    
RQW19.NumberOut                             365.00    
RQW12.NumberIn                              365.00    
RQW12.NumberOut                             365.00    
RQW13.NumberIn                              365.00    
RQW13.NumberOut                             365.00    
RQW11.NumberIn                              365.00    
RQW11.NumberOut                             365.00    
RQW16.NumberIn                              365.00    
RQW16.NumberOut                             365.00    
RQW17.NumberIn                              365.00    
RQW17.NumberOut                             365.00    
RQW14.NumberIn                              365.00    
RQW14.NumberOut                             365.00    
RQW15.NumberIn                              365.00    
RQW15.NumberOut                             365.00    
RQW34.NumberIn                              365.00    
RQW34.NumberOut                             365.00    
RQW35.NumberIn                              365.00    
RQW35.NumberOut                             365.00    
RQW36.NumberIn                              365.00    
RQW36.NumberOut                             365.00    
RQW31.NumberIn                              365.00    
RQW31.NumberOut                             365.00    
RQW32.NumberIn                              365.00    
RQW32.NumberOut                             365.00    
RQW33.NumberIn                              365.00    
RQW33.NumberOut                             365.00    
System.NumberOut                            1.1753E+06


                                      ARENA Simulation Results
                                               tt_sina

                                  Summary for Replication 2 of 10

Project: Unnamed Project                                             Run execution date : 7/10/2021
Analyst: tt_sina                                                     Model revision date: 7/10/2021

Replication ended at time      : 8761.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             .00000     (Insuf)    .00000     .00000          1    
Entity 1.NVATime                            .00000     (Insuf)    .00000     .00000          1    
Entity 1.WaitTime                           .00000     (Insuf)    .00000     .00000          1    
Entity 1.TranTime                           .00000     (Insuf)    .00000     .00000          1    
Entity 1.OtherTime                          .00000     (Insuf)    .00000     .00000          1    
Entity 1.TotalTime                          .00000     (Insuf)    .00000     .00000          1    
