SIMAN Run Controller.

360.0 Hours>
                                      ARENA Simulation Results
                                               tt_sina

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date : 7/11/2021
Analyst: tt_sina                                                     Model revision date: 7/11/2021

Replication ended at time      : 360.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
RQW12.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW12.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW12.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW12.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW12.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW12.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW13.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW13.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW13.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW13.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW13.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW13.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW11.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW11.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW11.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW11.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW11.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW11.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW16.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW16.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW16.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW16.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW16.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW16.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW17.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW17.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW17.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW17.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW17.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW17.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW14.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW14.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW14.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW14.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW14.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW14.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW15.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW15.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW15.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW15.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW15.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW15.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW34.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW34.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW34.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW34.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW34.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW34.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW35.VATime                                .00000     (Insuf)    .00000     .00000         14    
RQW35.NVATime                               .00000     (Insuf)    .00000     .00000         14    
RQW35.WaitTime                              .00000     (Insuf)    .00000     .00000         14    
RQW35.TranTime                              .00000     (Insuf)    .00000     .00000         14    
RQW35.OtherTime                             .00000     (Insuf)    .00000     .00000         14    
RQW35.TotalTime                             .00000     (Insuf)    .00000     .00000         14    
RQW36.VATime                                .00000     (Insuf)    .00000     .00000         14    
RQW36.NVATime                               .00000     (Insuf)    .00000     .00000         14    
RQW36.WaitTime                              .00000     (Insuf)    .00000     .00000         14    
RQW36.TranTime                              .00000     (Insuf)    .00000     .00000         14    
RQW36.OtherTime                             .00000     (Insuf)    .00000     .00000         14    
RQW36.TotalTime                             .00000     (Insuf)    .00000     .00000         14    
RQW31.VATime                                .00000     (Insuf)    .00000     .00000         14    
RQW31.NVATime                               .00000     (Insuf)    .00000     .00000         14    
RQW31.WaitTime                              .00000     (Insuf)    .00000     .00000         14    
RQW31.TranTime                              .00000     (Insuf)    .00000     .00000         14    
RQW31.OtherTime                             .00000     (Insuf)    .00000     .00000         14    
RQW31.TotalTime                             .00000     (Insuf)    .00000     .00000         14    
RQW32.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW32.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW32.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW32.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW32.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW32.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
RQW33.VATime                                .00000     (Insuf)    .00000     .00000         15    
RQW33.NVATime                               .00000     (Insuf)    .00000     .00000         15    
RQW33.WaitTime                              .00000     (Insuf)    .00000     .00000         15    
RQW33.TranTime                              .00000     (Insuf)    .00000     .00000         15    
RQW33.OtherTime                             .00000     (Insuf)    .00000     .00000         15    
RQW33.TotalTime                             .00000     (Insuf)    .00000     .00000         15    
Hold 36.Queue.WaitingTime                   15.375     (Insuf)    .00000     24.000         96    
Hold 26.Queue.WaitingTime                   14.951     (Insuf)    4.3887     24.000        234    
Hold 16.Queue.WaitingTime                   12.141     (Insuf)    1.1421     24.000        189    
Hold 28.Queue.WaitingTime                   16.303     (Insuf)    8.9690     24.000         40    
Hold 38.Queue.WaitingTime                   15.443     (Insuf)    7.1255     24.000         72    
Hold 18.Queue.WaitingTime                   11.967     1.0229     .10498     24.000       5590    
Hold 44.Queue.WaitingTime                   11.239     (Insuf)    1.0319     24.000        210    
Hold 34.Queue.WaitingTime                   16.222     (Insuf)    5.0000     24.000        198    
Hold 24.Queue.WaitingTime                   14.090     (Insuf)    1.0000     24.000        242    
Hold 14.Queue.WaitingTime                   12.069     (Corr)     .09964     24.000       9637    
Hold 45.Queue.WaitingTime                   12.050     .92792     .00539     24.000       5340    
Hold 35.Queue.WaitingTime                   12.137     (Corr)     .14882     24.000       7174    
Hold 25.Queue.WaitingTime                   13.658     (Insuf)    5.0299     24.000        253    
Hold 15.Queue.WaitingTime                   12.162     (Corr)     .32471     24.000        462    
Hold 39.Queue.WaitingTime                   13.742     (Insuf)    1.1124     24.000        168    
Hold 29.Queue.WaitingTime                   13.375     (Insuf)    1.0000     24.000         72    
Hold 19.Queue.WaitingTime                   15.613     (Insuf)    2.2682     24.000         12    
Hold 32.Queue.WaitingTime                   13.550     (Insuf)    .00000     24.000        260    
Hold 42.Queue.WaitingTime                   14.732     (Insuf)    .30055     24.000         63    
Hold 22.Queue.WaitingTime                   11.980     (Corr)     .03105     24.000       3199    
Hold 12.Queue.WaitingTime                   10.157     (Insuf)    1.8846     24.000         54    
Hold 9.Queue.WaitingTime                    16.549     (Insuf)    8.4978     24.000         56    
Hold 8.Queue.WaitingTime                    12.040     (Corr)     .00582     24.000       7701    
Hold 7.Queue.WaitingTime                    12.809     (Insuf)    2.0000     24.000        231    
Hold 6.Queue.WaitingTime                    11.690     (Corr)     .52057     24.000        360    
Hold 5.Queue.WaitingTime                    17.216     (Insuf)    1.5859     24.000         56    
Hold 4.Queue.WaitingTime                    16.468     (Insuf)    2.9745     24.000         64    
Hold 3.Queue.WaitingTime                    13.191     1.6751     .25189     24.000       1239    
Hold 2.Queue.WaitingTime                    20.750     (Insuf)    14.000     24.000         36    
Hold 1.Queue.WaitingTime                    9.1111     (Insuf)    .00000     24.000        144    
Hold 43.Queue.WaitingTime                   12.965     (Insuf)    .16170     24.000         72    
Hold 33.Queue.WaitingTime                   15.181     (Insuf)    7.0000     24.000         99    
Hold 23.Queue.WaitingTime                   13.600     (Insuf)    1.0000     24.000        220    
Hold 13.Queue.WaitingTime                   13.750     (Insuf)    1.0000     24.000        108    
Hold 27.Queue.WaitingTime                   17.747     (Insuf)    6.5579     24.000        259    
Hold 37.Queue.WaitingTime                   11.886     (Corr)     .01082     24.000       2105    
Hold 17.Queue.WaitingTime                   7.3571     (Insuf)    2.0000     24.000        210    
Hold 31.Queue.WaitingTime                   13.188     (Corr)     1.1000     24.000        624    
Hold 41.Queue.WaitingTime                   11.812     (Insuf)    .44030     24.000        126    
Hold 21.Queue.WaitingTime                   11.222     (Insuf)    1.0000     24.000         72    
Hold 11.Queue.WaitingTime                   16.000     (Insuf)    12.000     24.000         84    
Hold 40.Queue.WaitingTime                   12.500     (Insuf)    .00000     24.000        184    
Hold 30.Queue.WaitingTime                   12.556     (Insuf)    1.8177     24.000        224    
Hold 20.Queue.WaitingTime                   15.374     (Insuf)    4.0990     24.000        301    
Hold 10.Queue.WaitingTime                   12.677     (Insuf)    3.0139     24.000        256    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Time Persistent 2                           .00000     (Insuf)    .00000     .00000     .00000    
IQ_cost                                     1.2104E+05 (Insuf)    1.0873E+05 1.3374E+05 1.0873E+05
Entity 1.WIP                                .00000     (Insuf)    .00000     .00000     .00000    
RQW41.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQTotalDailyDC1.WIP                         .00000     (Insuf)    .00000     1.0000     .00000    
RQTotalDailyDC2.WIP                         .00000     (Insuf)    .00000     1.0000     .00000    
RQTotalDailyDC3.WIP                         .00000     (Insuf)    .00000     1.0000     .00000    
RQTotalDailyDC4.WIP                         .00000     (Insuf)    .00000     1.0000     .00000    
RQW22.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW21.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ2.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ3.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ1.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ4.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
SS Week DC4.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
SS Week DC1.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
SS Week DC2.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
SS Week DC3.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ_PDC_ND.WIP                             .00000     (Insuf)    .00000     1.0000     .00000    
CHIQ_PDC_ED.WIP                             .02701     (Insuf)    .00000     1.0000     .00000    
RQP.WIP                                     1652.6     (Corr)     .00000     3634.0     616.00    
RQW18.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW19.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW12.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW13.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW11.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW16.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW17.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW14.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW15.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW34.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW35.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW36.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW31.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW32.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
RQW33.WIP                                   .00000     (Insuf)    .00000     1.0000     .00000    
Hold 36.Queue.NumberInQueue                 4.1000     (Insuf)    .00000     12.000     .00000    
Hold 26.Queue.NumberInQueue                 9.7182     (Insuf)    .00000     26.000     .00000    
Hold 16.Queue.NumberInQueue                 6.3742     (Insuf)    .00000     21.000     .00000    
Hold 28.Queue.NumberInQueue                 2.0589     (Insuf)    .00000     5.0000     5.0000    
Hold 38.Queue.NumberInQueue                 3.1712     (Insuf)    .00000     9.0000     9.0000    
Hold 18.Queue.NumberInQueue                 185.83     (Corr)     .00000     377.00     .00000    
Hold 44.Queue.NumberInQueue                 6.5561     (Insuf)    .00000     21.000     .00000    
Hold 34.Queue.NumberInQueue                 8.9222     (Insuf)    .00000     22.000     .00000    
Hold 24.Queue.NumberInQueue                 9.4722     (Insuf)    .00000     22.000     .00000    
Hold 14.Queue.NumberInQueue                 323.09     (Corr)     .00000     644.00     .00000    
Hold 45.Queue.NumberInQueue                 178.75     (Corr)     .00000     372.00     .00000    
Hold 35.Queue.NumberInQueue                 241.86     (Corr)     .00000     493.00     .00000    
Hold 25.Queue.NumberInQueue                 9.5989     (Insuf)    .00000     23.000     .00000    
Hold 15.Queue.NumberInQueue                 15.608     (Insuf)    .00000     84.000     .00000    
Hold 39.Queue.NumberInQueue                 6.5390     (Insuf)    .00000     21.000     21.000    
Hold 29.Queue.NumberInQueue                 2.6750     (Insuf)    .00000     9.0000     .00000    
Hold 19.Queue.NumberInQueue                 .52044     (Insuf)    .00000     4.0000     .00000    
Hold 32.Queue.NumberInQueue                 9.7861     (Insuf)    .00000     26.000     .00000    
Hold 42.Queue.NumberInQueue                 2.5782     (Insuf)    .00000     9.0000     .00000    
Hold 22.Queue.NumberInQueue                 106.45     (Corr)     .00000     224.00     .00000    
Hold 12.Queue.NumberInQueue                 1.5237     (Insuf)    .00000     18.000     .00000    
Hold 9.Queue.NumberInQueue                  2.5743     (Insuf)    .00000     16.000     .00000    
Hold 8.Queue.NumberInQueue                  257.56     (Corr)     .00000     527.00     .00000    
Hold 7.Queue.NumberInQueue                  8.2194     (Insuf)    .00000     22.000     .00000    
Hold 6.Queue.NumberInQueue                  11.690     (Insuf)    .00000     72.000     .00000    
Hold 5.Queue.NumberInQueue                  2.6781     (Insuf)    .00000     7.0000     .00000    
Hold 4.Queue.NumberInQueue                  2.9276     (Insuf)    .00000     16.000     .00000    
Hold 3.Queue.NumberInQueue                  45.400     (Insuf)    .00000     126.00     .00000    
Hold 2.Queue.NumberInQueue                  2.0750     (Insuf)    .00000     9.0000     .00000    
Hold 1.Queue.NumberInQueue                  3.6444     (Insuf)    .00000     16.000     .00000    
Hold 43.Queue.NumberInQueue                 2.5931     (Insuf)    .00000     8.0000     .00000    
Hold 33.Queue.NumberInQueue                 4.1750     (Insuf)    .00000     9.0000     .00000    
Hold 23.Queue.NumberInQueue                 8.3111     (Insuf)    .00000     22.000     .00000    
Hold 13.Queue.NumberInQueue                 4.1250     (Insuf)    .00000     9.0000     .00000    
Hold 27.Queue.NumberInQueue                 12.768     (Insuf)    .00000     37.000     .00000    
Hold 37.Queue.NumberInQueue                 74.574     (Corr)     .00000     155.00     150.00    
